GoldenTweaks Silent Gear 材料属性列表
材料总数：394
说明：已应用材料属性列表_新材料已添加.xlsx G 列批注。

短ID	材料ID	显示名称	护甲值	挖掘速度	攻击力	原批注
cloth_of_the_flamebearer	goldentweaks:compat/hazennstuff/cloth_of_the_flamebearer	Cloth Of The Flamebearer	不适用	不适用	不适用	
cocoa	goldentweaks:compat/flavor_immersed_daily/cocoa	Cocoa Mass	不适用	不适用	不适用	
coconutleave_fruiting	goldentweaks:compat/flavor_immersed_daily/coconutleave_fruiting	Coconut Leaves	不适用	不适用	不适用	
coiler	goldentweaks:compat/northstar/coiler	Coiler Log	22	15	6	
compressed_solidified_flux_experience	goldentweaks:compat/apothicenchantingaddition/compressed_solidified_flux_experience	Compressed Solidified Flux Experience	21.496	13.272	5.352	增强2倍
constantan	goldentweaks:compat/alltheores/constantan	Constantan Ingot	13.859	8.641	3.473	
coral	goldentweaks:compat/createpropulsion/coral	Coral	不适用	不适用	不适用	
cosmic_gold_ingot	goldentweaks:compat/hazennstuff/cosmic_gold_ingot	Cosmic Gold Ingot	12.876	8.412	3.326	
creation	goldentweaks:compat/taintedmagic/creation	Shard of Creation	255	246.5	85	
creative_compound	goldentweaks:compat/avaritia_integration/creative_compound	Creative Compound	151.299	146.255	50.433	
crimson_stained_cloth	goldentweaks:compat/taintedmagic/crimson_stained_cloth	Crimson Stained Cloth	不适用	不适用	不适用	
crusted_stone	goldentweaks:compat/thaumcraft/crusted_stone	Crusted Stone	4.825	2.318	1.02	
cryotheum	goldentweaks:compat/neoecoae/cryotheum	Cryotheum Crystal	16.604	10.347	4.158	增强1.5倍
crystal_ingot	goldentweaks:compat/neoecoae/crystal_ingot	Crystal Ingot	46.744	29.628	11.84	增强4倍
crystal_matrix_ingot	goldentweaks:compat/avaritia/crystal_matrix_ingot	Crystal Matrix Ingot	25.529	20.665	7.581	为稀有级金属锭
crystalline	goldentweaks:compat/vista/crystalline	Crystalline	10.474	6.415	2.594	为宝石
crystallized_coral	goldentweaks:compat/cataclysm/crystallized_coral	Crystallized Coral	不适用	不适用	不适用	
crystallized_soul	goldentweaks:compat/iss_magicfromtheeast/crystallized_soul	Crystallized Soul	19.305	14.319	5.416	为宝石
crystaltine_ingot	goldentweaks:compat/extendedcrafting/crystaltine_ingot	Crystaltine Ingot	46.492	29.42	11.76	增强4倍
cursium_ingot	goldentweaks:compat/cataclysm/cursium_ingot	Cursium Ingot	66.504	41.46	16.662	增强6倍
cut_stone	goldentweaks:compat/dndecor/cut_stone	Polished Cut Stone	5.058	2.466	1.08	
cypress	goldentweaks:compat/biomesoplenty/cypress	Cypress Leaves	不适用	不适用	不适用	
dead	goldentweaks:compat/biomesoplenty/dead	Dead Log	2.257	0.855	0.409	
demonite_ingot	goldentweaks:compat/hazennstuff/demonite_ingot	Demonite Ingot	25.46	16.576	6.562	增强2倍
derium_ingot	goldentweaks:compat/igleelib/derium_ingot	Derium Ingot	23.284	14.74	5.892	增强2倍
deus_essence	goldentweaks:compat/hazennstuff/deus_essence	Deus Essence	115.668	111.812	38.556	为宝石，削弱50%
divine_pearl	goldentweaks:compat/irons_spellbooks/divine_pearl	Divine Pearl	不适用	不适用	不适用	
divine_soulshard	goldentweaks:compat/irons_spellbooks/divine_soulshard	Divine Soulshard	不适用	不适用	不适用	
dolomite	goldentweaks:compat/dndecor/dolomite	Dolomite	4.411	2.061	0.916	
downstone_fragments	goldentweaks:compat/spectrum/downstone_fragments	Downstone Fragments	44.164	27.5	11.056	为宝石，增强4倍
dragonbone_chunk	goldentweaks:compat/spectrum/dragonbone_chunk	Dragonbone Chunk	不适用	不适用	不适用	
dragonskin	goldentweaks:compat/irons_spellbooks/dragonskin	Dragonskin	不适用	不适用	不适用	
dreadsteel_ingot	goldentweaks:compat/hazennstuff/dreadsteel_ingot	Dreadsteel Ingot	22.702	14.26	5.716	增强2倍
dry_plant	goldentweaks:compat/northstar/dry_plant	Dry Plant Fiber	不适用	不适用	不适用	
durianleave_fruiting	goldentweaks:compat/flavor_immersed_daily/durianleave_fruiting	Durian Leaves	不适用	不适用	不适用	
earth	goldentweaks:compat/thaumcraft/earth	Earth Shard	11.989	7.66	3.052	
ebony_nox	goldentweaks:compat/spectrum/ebony_nox	Ebony Noxcap Stem	3.715	1.645	0.745	
echo_shard	goldentweaks:compat/minecraft/echo_shard	Echo Shard	28.95	17.283	7.05	为宝石，增强3倍
egg	goldentweaks:compat/bakeries/egg	Raw Egg Tart	不适用	不适用	不适用	
elder_guardian_spine	goldentweaks:compat/hazennstuff/elder_guardian_spine	Elder Guardian Spine	不适用	不适用	不适用	
empty_crystal	goldentweaks:compat/mekmm/empty_crystal	Empty Crystal	11.135	6.952	2.792	
empyreal	goldentweaks:compat/biomesoplenty/empyreal	Empyreal Log	3.562	1.557	0.708	
ender	goldentweaks:compat/thaumic_tinkerer/ender	Ender Shard	22.127	17.127	6.382	
ender_ingot	goldentweaks:compat/extendedcrafting/ender_ingot	Ender Ingot	9.854	8.225	2.985	削弱65%
ender_pearl	goldentweaks:compat/minecraft/ender_pearl	Ender Pearl	8.566	6.843	2.522	削弱65%
endest_pearl	goldentweaks:compat/avaritia/endest_pearl	Endest Pearl	25.529	20.665	7.581	为稀有级宝石
energized	goldentweaks:compat/neoecoae/energized	Energized Crystal	21.075	16.066	6.019	
energized_core	goldentweaks:compat/irons_spellbooks/energized_core	Energized Core	22.548	17.557	6.529	
energized_fluix	goldentweaks:compat/neoecoae/energized_fluix	Energized Fluix Crystal	28.74	22.515	8.355	
energized_superconductive_ingot	goldentweaks:compat/neoecoae/energized_superconductive_ingot	Energized Superconductive Ingot	49.472	39.654	14.598	增强2倍
enhanced_ender_ingot	goldentweaks:compat/extendedcrafting/enhanced_ender_ingot	Enhanced Ender Ingot	27.37	22.644	8.244	
enhanced_redstone_ingot	goldentweaks:compat/extendedcrafting/enhanced_redstone_ingot	Enhanced Redstone Ingot	10.714	6.609	2.666	
enriched_glowstone_ore	goldentweaks:compat/northstar/enriched_glowstone_ore	Enriched Glowstone Ore	13.41	8.874	3.493	
entro	goldentweaks:compat/extendedae/entro	Entro Crystal	14.188	8.911	3.571	
entro_ingot	goldentweaks:compat/extendedae/entro_ingot	Entro Ingot	21.908	13.608	5.476	增强2倍
entropy	goldentweaks:compat/thaumcraft/entropy	Entropy Shard	11.989	7.66	3.052	
envy	goldentweaks:compat/forbiddenmagic/envy	Envy Shard	29.973	19.15	7.63	
essence_of_the_storm	goldentweaks:compat/cataclysm/essence_of_the_storm	Essence Of The Storm	12.242	7.873	3.13	
fabric	goldentweaks:compat/touhou_little_maid/fabric	§6Nimble Fabric	不适用	不适用	不适用	
fine	goldentweaks:compat/supplementaries/fine	Fine Wood	3.15	1.324	0.611	
fir	goldentweaks:compat/biomesoplenty/fir	Fir Log	3.406	1.467	0.671	
fire	goldentweaks:compat/thaumcraft/fire	Fire Shard	11.989	7.66	3.052	
fireblossom	goldentweaks:compat/hazennstuff/fireblossom	Fireblossom	11.426	7.192	2.88	
flesh_tendons	goldentweaks:compat/biomesoplenty/flesh_tendons	Flesh Tendons	不适用	不适用	不适用	
floating_fox	goldentweaks:compat/touhou_little_maid_spell/floating_fox	Floating Fox Leaf	不适用	不适用	不适用	
flower	goldentweaks:compat/flavor_immersed_daily/flower	Flower Roll	不适用	不适用	不适用	
flowering_oak	goldentweaks:compat/biomesoplenty/flowering_oak	Flowering Oak Leaves	不适用	不适用	不适用	
fluix	goldentweaks:compat/ae2/fluix	Fluix Crystal	16.5	6.6	2.2	
fluorite	goldentweaks:compat/mekanism/fluorite	Fluorite	10.833	6.705	2.701	
frostbite	goldentweaks:compat/spectrum/frostbite	Frostbite Crystal	10.006	6.042	2.455	
frostbite_birch	goldentweaks:compat/hazennstuff/frostbite_birch	Frostbite Birch Log	3.54	1.544	0.703	
frosted_helve	goldentweaks:compat/irons_spellbooks/frosted_helve	Frosted Helve	12.322	7.94	3.154	
frozen_bone	goldentweaks:compat/irons_spellbooks/frozen_bone	Frozen Bone	不适用	不适用	不适用	
fungus	goldentweaks:compat/flavor_immersed_daily/fungus	Black Fungus	不适用	不适用	不适用	
gabbro	goldentweaks:compat/dndecor/gabbro	Gabbro	4.317	2.004	0.893	
glowing_ancient_stone	goldentweaks:compat/thaumcraft/glowing_ancient_stone	Glowing Ancient Stone	14.024	7.576	3.2	
glowing_mushroom	goldentweaks:compat/hazennstuff/glowing_mushroom	Glowing Mushroom	不适用	不适用	不适用	
glowing_venus_vines	goldentweaks:compat/northstar/glowing_venus_vines	Glowing Venus Vines	不适用	不适用	不适用	
gluttony	goldentweaks:compat/forbiddenmagic/gluttony	Gluttony Shard	29.973	19.15	7.63	
grass	goldentweaks:compat/thaumcraft/grass	Tainted Grass	不适用	不适用	不适用	
greatwood	goldentweaks:compat/thaumcraft/greatwood	Greatwood Log	3.586	1.57	0.714	
greed	goldentweaks:compat/forbiddenmagic/greed	Greed Shard	29.973	19.15	7.63	
greentea	goldentweaks:compat/flavor_immersed_daily/greentea	Green Tea Leaves	不适用	不适用	不适用	
hair	goldentweaks:compat/biomesoplenty/hair	Hair	不适用	不适用	不适用	
hallowed_ingot	goldentweaks:compat/hazennstuff/hallowed_ingot	Hallowed Ingot	26.402	21.598	7.894	
hanging_cobweb	goldentweaks:compat/biomesoplenty/hanging_cobweb	Hanging Cobweb	不适用	不适用	不适用	
hdpe_stick	goldentweaks:compat/mekanism/hdpe_stick	Hdpe Stick	13.133	8.634	3.406	
heap_of_experience	goldentweaks:compat/create_sa/heap_of_experience	Heap Of Experience	12.017	7.684	3.061	
hellbark	goldentweaks:compat/biomesoplenty/hellbark	Hellbark Log	3.093	1.293	0.597	
hexite_ingot	goldentweaks:compat/forbiddenmagic/hexite_ingot	Hexite Ingot	19.928	14.928	5.627	
hide	goldentweaks:compat/kaleidoscope_nether/hide	Ghast Hide	不适用	不适用	不适用	
hogskin	goldentweaks:compat/irons_spellbooks/hogskin	Hogskin	不适用	不适用	不适用	
honey	goldentweaks:compat/create/honey	Honey	不适用	不适用	不适用	
honey_butter	goldentweaks:compat/createbuttercat/honey_butter	Honey Butter	不适用	不适用	不适用	
honeypeachleave_fruiting	goldentweaks:compat/flavor_immersed_daily/honeypeachleave_fruiting	Honey Peach Leaves	不适用	不适用	不适用	
ichor	goldentweaks:compat/thaumic_tinkerer/ichor	Ichor	25.529	20.665	7.581	为稀有级宝石
ichorcloth	goldentweaks:compat/thaumic_tinkerer/ichorcloth	Ichorcloth	不适用	不适用	不适用	
ichorium_ingot	goldentweaks:compat/thaumic_tinkerer/ichorium_ingot	Ichorium Ingot	25.529	20.665	7.581	为稀有级金属锭
icy_fang	goldentweaks:compat/irons_spellbooks/icy_fang	Icy Fang	不适用	不适用	不适用	
ignitium_ingot	goldentweaks:compat/cataclysm/ignitium_ingot	Ignitium Ingot	124.65	80.62	31.98	增强10倍
infinity_ingot	goldentweaks:compat/avaritia/infinity_ingot	Infinity Ingot	510.504	493.488	170.168	增强2倍
ingot_better_gold	goldentweaks:compat/evolvedmekanism/ingot_better_gold	Ingot Better Gold	50.916	33.148	13.12	增强4倍
ingot_naquadah	goldentweaks:compat/mekanism_extras/ingot_naquadah	Ingot Naquadah	22.174	13.826	5.556	增强2倍
ingot_plaslitherite	goldentweaks:compat/evolvedmekanism/ingot_plaslitherite	Ingot Plaslitherite	94.464	60.072	23.976	增强8倍
ingot_refined_redstone	goldentweaks:compat/evolvedmekanism/ingot_refined_redstone	Ingot Refined Redstone	36.363	23.313	9.276	增强3倍
iridium	goldentweaks:compat/alltheores/iridium	Iridium Ingot	31.287	26.992	9.684	
ivory_nox	goldentweaks:compat/spectrum/ivory_nox	Ivory Noxcap Stem	3.333	1.426	0.654	
jacaranda	goldentweaks:compat/biomesoplenty/jacaranda	Jacaranda Log	3.286	1.4	0.643	
jade	goldentweaks:compat/iss_magicfromtheeast/jade	Polished Jadestone	17.682	12.759	4.872	
jadeite_lotus	goldentweaks:compat/spectrum/jadeite_lotus	Jadeite Lotus Stem	3.435	1.484	0.678	
jadeite_petals	goldentweaks:compat/spectrum/jadeite_petals	Jadeite Petals	不适用	不适用	不适用	
jingxu_youlan	goldentweaks:compat/touhou_little_maid_spell/jingxu_youlan	Jingxu Youlan	12.958	8.483	3.351	
kiwifruitsleave_fruiting	goldentweaks:compat/flavor_immersed_daily/kiwifruitsleave_fruiting	Kiwifruit Leaves	不适用	不适用	不适用	
koboleton_bone	goldentweaks:compat/cataclysm/koboleton_bone	Koboleton Bone	不适用	不适用	不适用	
lacrima	goldentweaks:compat/cataclysm/lacrima	Lacrima	11.037	6.872	2.763	
lavium_ingot	goldentweaks:compat/igleelib/lavium_ingot	Lavium Ingot	23.636	15.034	6	增强2倍
layered_stone	goldentweaks:compat/dndecor/layered_stone	Layered Stone	4.612	2.185	0.966	
lemonleave_fruiting	goldentweaks:compat/flavor_immersed_daily/lemonleave_fruiting	Lemon Leaves	不适用	不适用	不适用	
limestone	goldentweaks:compat/create/limestone	Limestone	5.14	2.519	1.101	
lunar_sapphire_shard	goldentweaks:compat/northstar/lunar_sapphire_shard	Lunar Sapphire Shard	11.62	7.352	2.939	
lust	goldentweaks:compat/forbiddenmagic/lust	Lust Shard	29.973	19.15	7.63	
lycheeleave_fruiting	goldentweaks:compat/flavor_immersed_daily/lycheeleave_fruiting	Lychee Leaves	不适用	不适用	不适用	
magic	goldentweaks:compat/biomesoplenty/magic	Magic Log	5.402	2.689	1.169	
magic_cloth	goldentweaks:compat/irons_spellbooks/magic_cloth	Magic Cloth	不适用	不适用	不适用	
mahogany	goldentweaks:compat/biomesoplenty/mahogany	Mahogany Log	3.64	1.601	0.727	
malachite	goldentweaks:compat/spectrum/malachite	Block of Malachite	38.232	22.756	9.292	
mangoleave_fruiting	goldentweaks:compat/flavor_immersed_daily/mangoleave_fruiting	Mango Leaves	不适用	不适用	不适用	
mangosteenleave_fruiting	goldentweaks:compat/flavor_immersed_daily/mangosteenleave_fruiting	Mangosteen Leaves	不适用	不适用	不适用	
maple	goldentweaks:compat/biomesoplenty/maple	Maple Log	3.404	1.467	0.67	
marble	goldentweaks:compat/spectrum/marble	Basal Marble	4.613	2.186	0.967	
mars_deep_stone	goldentweaks:compat/northstar/mars_deep_stone	Deep Mars Stone	4.472	2.098	0.931	
mars_palm	goldentweaks:compat/northstar/mars_palm	Mars Palm	10.786	6.667	2.687	
mars_sand	goldentweaks:compat/northstar/mars_sand	Mars Sand	4.998	2.428	1.065	
mars_sprout	goldentweaks:compat/northstar/mars_sprout	Mars Sprout	12.001	7.671	3.056	
mars_stone	goldentweaks:compat/northstar/mars_stone	Mars Stone	5.059	2.467	1.08	
mars_tulip	goldentweaks:compat/northstar/mars_tulip	Mars Tulip	12.693	8.256	3.269	
martian_steel_ingot	goldentweaks:compat/northstar/martian_steel_ingot	Martian Steel Ingot	11.532	7.279	2.913	
meat	goldentweaks:compat/kaleidoscope_nether/meat	Raw Piglin Meat	不适用	不适用	不适用	
mercury_deep_stone	goldentweaks:compat/northstar/mercury_deep_stone	Deep Mercury Stone	5.114	2.503	1.094	
mercury_stone	goldentweaks:compat/northstar/mercury_stone	Mercury Stone	4.796	2.3	1.013	
mermaids	goldentweaks:compat/spectrum/mermaids	Mermaid's Gem	9.975	6.017	2.446	
meteorite_fragment	goldentweaks:compat/thaumcraftcelestial/meteorite_fragment	Meteorite Fragment	34.981	33.816	11.661	削弱50%
midnight_chip	goldentweaks:compat/spectrum/midnight_chip	Midnight Chip	23.414	14.85	5.932	为宝石，增强2倍
millet	goldentweaks:compat/flavor_immersed_daily/millet	Millet Seeds	不适用	不适用	不适用	
mithril	goldentweaks:compat/irons_spellbooks/mithril	Mithril Ingot	26.653	21.869	7.985	
mithril_weave	goldentweaks:compat/irons_spellbooks/mithril_weave	Mithril Weave	不适用	不适用	不适用	
modium_ingot	goldentweaks:compat/igleelib/modium_ingot	Modium Ingot	23.87	15.23	6.07	增强2倍
molten_fox	goldentweaks:compat/touhou_little_maid_spell/molten_fox	Molten Fox Leaf	不适用	不适用	不适用	
moon_deep_stone	goldentweaks:compat/northstar/moon_deep_stone	Moon Deep Stone	4.699	2.24	0.988	
moon_sand	goldentweaks:compat/northstar/moon_sand	Moon Sand	4.192	1.928	0.862	
moon_sand_paper	goldentweaks:compat/northstar/moon_sand_paper	Moon Sand Paper	4.738	2.264	0.998	
moon_stone	goldentweaks:compat/northstar/moon_stone	Moon Stone	5.141	2.52	1.101	
moonstone	goldentweaks:compat/spectrum/moonstone	Moonstone Shard	20.162	12.202	4.954	
moss	goldentweaks:compat/spectrum/moss	Moss Ball	不适用	不适用	不适用	
mossy_black_sand	goldentweaks:compat/biomesoplenty/mossy_black_sand	Mossy Black Sand	5.116	2.504	1.095	
mulberryleaves_fruiting	goldentweaks:compat/flavor_immersed_daily/mulberryleaves_fruiting	Mulberry Leaves	不适用	不适用	不适用	
mungbeanplant	goldentweaks:compat/flavor_immersed_daily/mungbeanplant	Mung Bean Seeds	不适用	不适用	不适用	
nectarineleave_fruiting	goldentweaks:compat/flavor_immersed_daily/nectarineleave_fruiting	Nectarine Leaves	不适用	不适用	不适用	
neolith	goldentweaks:compat/spectrum/neolith	Neolith	26.34	12.288	5.466	增强6倍
nephrite_blossom	goldentweaks:compat/spectrum/nephrite_blossom	Nephrite Blossom Stem	3.124	1.31	0.605	
nether_brick	goldentweaks:compat/minecraft/nether_brick	Nether Brick	4.585	2.168	0.96	
nether_star	goldentweaks:compat/minecraft/nether_star	Nether Star	32.184	19.86	8.01	为宝石，增强3倍
neutron_ingot	goldentweaks:compat/avaritia/neutron_ingot	Neutron Ingot	276.3	172.1	69.175	为稀有级金属，增强25倍
nightmare_fuel	goldentweaks:compat/hazennstuff/nightmare_fuel	Nightmare Fuel	12.224	7.858	3.124	
null_block	goldentweaks:compat/biomesoplenty/null_block	Null Block	12.262	7.89	3.136	
null_end_stone	goldentweaks:compat/biomesoplenty/null_end_stone	Null End Stone	10.927	6.782	2.73	
null_leaves	goldentweaks:compat/biomesoplenty/null_leaves	Null Leaves	12.962	8.487	3.353	
onyx	goldentweaks:compat/spectrum/onyx	Onyx Shard	46.368	29.316	11.724	
orange_maple	goldentweaks:compat/biomesoplenty/orange_maple	Orange Maple Leaves	不适用	不适用	不适用	
orange_sand	goldentweaks:compat/biomesoplenty/orange_sand	Orange Sand	4.536	2.138	0.947	
orangeleave	goldentweaks:compat/flavor_immersed_daily/orangeleave	Orange Leaves	不适用	不适用	不适用	
orangeleave_fruiting	goldentweaks:compat/flavor_immersed_daily/orangeleave_fruiting	Orange Leaves	不适用	不适用	不适用	
orchard_heartwood	goldentweaks:compat/flavor_immersed_daily/orchard_heartwood	Orchard Heartwood Log	3.2	1.352	0.622	
order	goldentweaks:compat/thaumcraft/order	Order Shard	11.989	7.66	3.052	
origin	goldentweaks:compat/biomesoplenty/origin	Origin Leaves	不适用	不适用	不适用	
overgrown_bone	goldentweaks:compat/hazennstuff/overgrown_bone	Overgrown Bone	不适用	不适用	不适用	
palm	goldentweaks:compat/biomesoplenty/palm	Palm Log	3.562	1.556	0.708	
paltaeria	goldentweaks:compat/spectrum/paltaeria	Paltaeria Gem	26.512	21.716	7.934	
pawpawleave_fruiting	goldentweaks:compat/flavor_immersed_daily/pawpawleave_fruiting	Papaya Leaves	不适用	不适用	不适用	
pearleaves_fruiting	goldentweaks:compat/flavor_immersed_daily/pearleaves_fruiting	Pear Leaves	不适用	不适用	不适用	
pellet_antimatter	goldentweaks:compat/mekanism/pellet_antimatter	Pellet Antimatter	81.766	79.04	27.255	削弱20%
pellet_plutonium	goldentweaks:compat/mekanism/pellet_plutonium	Pellet Plutonium	45.112	28.28	11.344	增强4倍
pellet_polonium	goldentweaks:compat/mekanism/pellet_polonium	Pellet Polonium	46.036	29.04	11.624	增强4倍
permafrost	goldentweaks:compat/irons_spellbooks/permafrost	Permafrost Shard	34.689	21.912	8.766	
permafrost_fragment	goldentweaks:compat/hazennstuff/permafrost_fragment	Permafrost Fragment	12.014	7.681	3.06	
pine	goldentweaks:compat/biomesoplenty/pine	Pine Log	3.746	1.663	0.752	
pistachionutleave_fruiting	goldentweaks:compat/flavor_immersed_daily/pistachionutleave_fruiting	Pistachio Leaves	不适用	不适用	不适用	
polished_rose_quartz	goldentweaks:compat/create/polished_rose_quartz	Polished Rose Quartz	19.584	11.744	4.784	增强2倍
pork	goldentweaks:compat/kaleidoscope_cookery/pork	Raw Pork Belly	不适用	不适用	不适用	
potato	goldentweaks:compat/flavor_immersed_daily/potato	potato chunks	不适用	不适用	不适用	
pride	goldentweaks:compat/forbiddenmagic/pride	Pride Shard	35.967	22.98	9.156	
