GoldenTweaks Silent Gear 材料属性列表
材料总数：629
说明：仅包含已由材料设计文档明确分类的当前材料；所有配方均使用设计指定的具体物品 ID；原批注已保留。

短ID	材料ID	显示名称	护甲值	挖掘速度	攻击力	原批注	材料类别	等级	语义偏移
purified_nether_quartz	goldentweaks:compat/ae2cs/purified_nether_quartz	Purified Nether Quartz Crystal	9.182	8.418	5.356		纯宝石	1	偏高 0.55
purified_overload	goldentweaks:compat/ae2cs/purified_overload	Purified Overload Crystal	23.52	21.56	13.72		纯宝石	4	偏高 0.55
purified_quantum	goldentweaks:compat/ae2cs/purified_quantum	Purified Quantum Crystal	23.52	21.56	13.72		纯宝石	4	偏高 0.39
purified_redstone	goldentweaks:compat/ae2cs/purified_redstone	Purified Redstone Crystal	13.111	12.018	7.648		纯宝石	2	偏高 0.44
purified_resonating	goldentweaks:compat/ae2cs/purified_resonating	Purified Resonating Crystal	16.464	15.092	9.604		纯宝石	3	偏高 0.00
purified_rose_quartz	goldentweaks:compat/ae2cs/purified_rose_quartz	Purified Rose Quartz	7.526	6.899	4.39		纯宝石	1	偏高 0.00
constantan	goldentweaks:compat/alltheores/constantan	Constantan Ingot	20.2	7.676	3.232		硬金属	3	
iridium	goldentweaks:compat/alltheores/iridium	Iridium Ingot	36.32	13.802	5.811		硬金属	5	
zinc_ingot	goldentweaks:compat/alltheores/zinc_ingot	Zinc Ingot	12.32	4.682	1.971		硬金属	1	
warden_tendril	goldentweaks:compat/apothic_enchanting/warden_tendril	Warden Tendril				是有机物，不是金属	线	4	偏低 0.21
crystal_matrix_ingot	goldentweaks:compat/avaritia/crystal_matrix_ingot	Crystal Matrix Ingot	68	25.84	10.88		硬金属	8	
infinity_ingot	goldentweaks:compat/avaritia/infinity_ingot	Infinity Ingot	460	276.0	105.8		神级金属	2	
neutron_ingot	goldentweaks:compat/avaritia/neutron_ingot	Neutronium Ingot	300	180.0	69.0		神级金属	1	
blaze_cube_wire	goldentweaks:compat/avaritia_integration/blaze_cube_wire	Blaze Cube Wire					超级线	1	偏低 0.06
creative_compound	goldentweaks:compat/avaritia_integration/creative_compound	Creative Compound	180	108.0	41.4		神级灌注合金	1	
crystal_matrix_wire	goldentweaks:compat/avaritia_integration/crystal_matrix_wire	Crystal Matrix Wire					超级线	2	偏高 0.20
infinity_long_rod	goldentweaks:compat/avaritia_integration/infinity_long_rod	Infinity Long Rod					神级手柄	2	偏高 0.21
infinity_rod	goldentweaks:compat/avaritia_integration/infinity_rod	Infinity Rod					神级手柄	2	偏高 0.30
infinity_wire	goldentweaks:compat/avaritia_integration/infinity_wire	Infinity Wire					神级线	2	偏低 0.23
neutron_wire	goldentweaks:compat/avaritia_integration/neutron_wire	Neutron Wire					神级线	1	偏低 0.37
blaze_long_rod	goldentweaks:compat/avaritia_more_items/blaze_long_rod	Blaze Long rod					稀有手柄	1	偏低 0.52
blaze_rod	goldentweaks:compat/avaritia_more_items/blaze_rod	Blaze Rod					稀有手柄	1	偏低 0.40
cosmic_ingot	goldentweaks:compat/avaritia_more_items/cosmic_ingot	Cosmic Ingot	1000	600.0	230.0		神级金属	4	
crystal_matrix_long_rod	goldentweaks:compat/avaritia_more_items/crystal_matrix_long_rod	Crystal_matrix Long rod					稀有手柄	2	偏低 0.18
crystal_matrix_rod	goldentweaks:compat/avaritia_more_items/crystal_matrix_rod	Crystal_matrix Rod					稀有手柄	2	偏高 0.34
neutron_long_rod	goldentweaks:compat/avaritia_more_items/neutron_long_rod	Neutron Long rod					神级手柄	1	偏低 0.02
neutron_rod	goldentweaks:compat/avaritia_more_items/neutron_rod	Neutron Rod					神级手柄	1	偏低 0.21
quark_ingot	goldentweaks:compat/avaritia_more_items/quark_ingot	Quark Ingot	700	420.0	161.0	终极金属，增加至护甲值1000，其它属性相应增加	神级金属	3	
quark_long_rod	goldentweaks:compat/avaritia_more_items/quark_long_rod	Quark Long rod					神级手柄	3	偏高 0.06
quark_rod	goldentweaks:compat/avaritia_more_items/quark_rod	Quark Rod					神级手柄	3	偏高 0.17
quark_wire	goldentweaks:compat/avaritia_more_items/quark_wire	Quark Wire					神级线	3	偏高 0.21
baguette_handle	goldentweaks:compat/bakeries/baguette_handle	Baguette					手柄	2	偏低 0.10
pastry	goldentweaks:compat/bakeries/pastry	Pastry					革织	1	偏高 0.43
barley	goldentweaks:compat/biomesoplenty/barley	Barley					线	1	偏低 0.20
cypress_leaves	goldentweaks:compat/biomesoplenty/cypress_leaves	Cypress Leaves					异界树叶		偏低 0.33
dead_leaves	goldentweaks:compat/biomesoplenty/dead_leaves	Dead Leaves					异界树叶		偏高 0.24
dead_planks	goldentweaks:compat/biomesoplenty/dead_planks	Dead Planks	12.145	7.052	2.155		异界木材	1	偏高 0.49
empyreal_leaves	goldentweaks:compat/biomesoplenty/empyreal_leaves	Empyreal Leaves					异界树叶		偏高 0.37
empyreal_planks	goldentweaks:compat/biomesoplenty/empyreal_planks	Empyreal Planks	11.072	6.429	1.964		异界木材	1	偏低 0.29
fir_leaves	goldentweaks:compat/biomesoplenty/fir_leaves	Fir Leaves					异界树叶		偏低 0.02
fir_planks	goldentweaks:compat/biomesoplenty/fir_planks	Fir Planks	12.216	7.093	2.167		异界木材	1	偏高 0.54
flesh_tendons	goldentweaks:compat/biomesoplenty/flesh_tendons	Flesh Tendons					线	2	偏低 0.14
flowering_oak_leaves	goldentweaks:compat/biomesoplenty/flowering_oak_leaves	Flowering Oak Leaves					异界树叶		偏高 0.51
hair	goldentweaks:compat/biomesoplenty/hair	Hair					线	2	偏低 0.28
hanging_cobweb	goldentweaks:compat/biomesoplenty/hanging_cobweb	Hanging Cobweb					线	1	偏高 0.22
hellbark_leaves	goldentweaks:compat/biomesoplenty/hellbark_leaves	Hellbark Leaves					异界树叶		偏高 0.14
hellbark_planks	goldentweaks:compat/biomesoplenty/hellbark_planks	Hellbark Planks	11.593	6.731	2.057		异界木材	1	偏高 0.09
jacaranda_leaves	goldentweaks:compat/biomesoplenty/jacaranda_leaves	Jacaranda Leaves					异界树叶		偏高 0.14
jacaranda_planks	goldentweaks:compat/biomesoplenty/jacaranda_planks	Jacaranda Planks	11.14	6.468	1.976		异界木材	1	偏低 0.24
magic_leaves	goldentweaks:compat/biomesoplenty/magic_leaves	Magic Leaves					异界树叶		偏低 0.52
magic_planks	goldentweaks:compat/biomesoplenty/magic_planks	Magic Planks	10.743	6.238	1.906		异界木材	1	偏低 0.53
mahogany_leaves	goldentweaks:compat/biomesoplenty/mahogany_leaves	Mahogany Leaves					异界树叶		偏低 0.53
mahogany_planks	goldentweaks:compat/biomesoplenty/mahogany_planks	Mahogany Planks	12.197	7.082	2.164		异界木材	1	偏高 0.53
maple_planks	goldentweaks:compat/biomesoplenty/maple_planks	Maple Planks	10.855	6.303	1.926		异界木材	1	偏低 0.45
orange_maple_leaves	goldentweaks:compat/biomesoplenty/orange_maple_leaves	Orange Maple Leaves					异界树叶		偏低 0.15
origin_leaves	goldentweaks:compat/biomesoplenty/origin_leaves	Origin Leaves					异界树叶		偏低 0.01
palm_leaves	goldentweaks:compat/biomesoplenty/palm_leaves	Palm Leaves					异界树叶		偏高 0.17
palm_planks	goldentweaks:compat/biomesoplenty/palm_planks	Palm Planks	11.764	6.831	2.087		异界木材	1	偏高 0.21
pine_leaves	goldentweaks:compat/biomesoplenty/pine_leaves	Pine Leaves					异界树叶		偏低 0.04
pine_planks	goldentweaks:compat/biomesoplenty/pine_planks	Pine Planks	11.933	6.929	2.117		异界木材	1	偏高 0.34
rainbow_birch_leaves	goldentweaks:compat/biomesoplenty/rainbow_birch_leaves	Rainbow Birch Leaves					异界树叶		偏低 0.35
red_maple_leaves	goldentweaks:compat/biomesoplenty/red_maple_leaves	Red Maple Leaves					异界树叶		偏低 0.12
redwood_leaves	goldentweaks:compat/biomesoplenty/redwood_leaves	Redwood Leaves					异界树叶		偏低 0.36
redwood_planks	goldentweaks:compat/biomesoplenty/redwood_planks	Redwood Planks	10.819	6.282	1.919		异界木材	1	偏低 0.47
reed	goldentweaks:compat/biomesoplenty/reed	Reed					线	1	偏高 0.13
sea_oats	goldentweaks:compat/biomesoplenty/sea_oats	Sea Oats					线	1	偏高 0.20
silk	goldentweaks:compat/biomesoplenty/silk	Glowworm Silk					线	2	偏低 0.48
snowblossom_leaves	goldentweaks:compat/biomesoplenty/snowblossom_leaves	Snowblossom Leaves					异界树叶		偏低 0.07
umbran_leaves	goldentweaks:compat/biomesoplenty/umbran_leaves	Umbran Leaves					异界树叶		偏低 0.36
umbran_planks	goldentweaks:compat/biomesoplenty/umbran_planks	Umbran Planks	11.75	6.822	2.085		异界木材	1	偏高 0.20
webbing	goldentweaks:compat/biomesoplenty/webbing	Webbing					线	1	偏低 0.38
willow_leaves	goldentweaks:compat/biomesoplenty/willow_leaves	Willow Leaves					异界树叶		偏高 0.48
willow_planks	goldentweaks:compat/biomesoplenty/willow_planks	Willow Planks	11.799	6.851	2.093		异界木材	1	偏高 0.24
willow_vine	goldentweaks:compat/biomesoplenty/willow_vine	Willow Vine					线	1	偏低 0.42
yellow_maple_leaves	goldentweaks:compat/biomesoplenty/yellow_maple_leaves	Yellow Maple Leaves					异界树叶		偏低 0.04
ancient_metal_ingot	goldentweaks:compat/cataclysm/ancient_metal_ingot	Ancient Metal Ingot	45.8	17.404	7.328		硬金属	6	
black_steel_ingot	goldentweaks:compat/cataclysm/black_steel_ingot	Black Steel Ingot	42.92	16.31	6.867		硬金属	6	
chorus_planks	goldentweaks:compat/cataclysm/chorus_planks	Chorus Planks	11.495	6.674	2.039		异界木材	1	偏高 0.02
cursium_ingot	goldentweaks:compat/cataclysm/cursium_ingot	Cursium Ingot	44.36	16.857	7.098		硬金属	6	
ignitium_ingot	goldentweaks:compat/cataclysm/ignitium_ingot	Ignitium Ingot	60.8	23.104	9.728		硬金属	7	
koboleton_bone	goldentweaks:compat/cataclysm/koboleton_bone	Koboleton Bone					手柄	4	偏低 0.01
lacrima	goldentweaks:compat/cataclysm/lacrima	Lacrima	34.276	27.421	17.45	宝石，增强2倍	超级宝石	2	偏低 0.55
void_stone	goldentweaks:compat/cataclysm/void_stone	Void Stone	13.142	4.448	2.831	削弱50%	石头	4	偏高 0.09
witherite_ingot	goldentweaks:compat/cataclysm/witherite_ingot	Witherite Ingot	68	25.84	10.88		硬金属	8	
asurine	goldentweaks:compat/create/asurine	Asurine	9.754	3.301	2.101		石头	3	偏高 0.29
cardboard_handle	goldentweaks:compat/create/cardboard_handle	Cardboard Sword					手柄	1	偏高 0.03
crimsite	goldentweaks:compat/create/crimsite	Crimsite	9.346	3.163	2.013		石头	3	偏低 0.07
limestone	goldentweaks:compat/create/limestone	Limestone	6.76	2.288	1.456		石头	2	偏低 0.08
ochrum	goldentweaks:compat/create/ochrum	Ochrum	9.818	3.323	2.115		石头	3	偏高 0.35
scorchia	goldentweaks:compat/create/scorchia	Scorchia	6.927	2.345	1.492		石头	2	偏高 0.12
scoria	goldentweaks:compat/create/scoria	Scoria	7.221	2.444	1.555		石头	2	偏高 0.48
veridium	goldentweaks:compat/create/veridium	Veridium	9.758	3.303	2.102		石头	3	偏高 0.29
steel_cable	goldentweaks:compat/create_submarine/steel_cable	Steel Cable					线	3	偏低 0.52
copper_wire	goldentweaks:compat/createaddition/copper_wire	Copper Wire					线	2	偏低 0.05
electrum_wire	goldentweaks:compat/createaddition/electrum_wire	Electrum Wire					线	4	偏低 0.23
gold_wire	goldentweaks:compat/createaddition/gold_wire	Gold Wire					线	4	偏高 0.48
iron_wire	goldentweaks:compat/createaddition/iron_wire	Iron Wire					线	3	偏高 0.10
cast_iron	goldentweaks:compat/createbigcannons/cast_iron	Cast Iron Ingot	19.36	7.357	3.098		硬金属	3	
nethersteel_ingot	goldentweaks:compat/createbigcannons/nethersteel_ingot	Nethersteel Ingot	13.125	8.627	3.404		金属覆层	2	
cardboard_ingot	goldentweaks:compat/createcardboardthings/cardboard_ingot	Cardboard Ingot	12	4.56	1.92		硬金属	1	
chip_wood_block	goldentweaks:compat/createdieselgenerators/chip_wood_block	Chip Wood Block	12.158	14.496	2.572		工具木材	1	偏高 0.33
autunite	goldentweaks:compat/createnuclear/autunite	Autunite	9.451	3.199	2.036		石头	3	偏高 0.02
black_cloth	goldentweaks:compat/createnuclear/black_cloth	Black Cloth					革织	2	偏高 0.00
blue_cloth	goldentweaks:compat/createnuclear/blue_cloth	Blue Cloth					革织	2	偏高 0.00
brown_cloth	goldentweaks:compat/createnuclear/brown_cloth	Brown Cloth					革织	2	偏高 0.00
cyan_cloth	goldentweaks:compat/createnuclear/cyan_cloth	Cyan Cloth					革织	2	偏高 0.00
graphite_rod	goldentweaks:compat/createnuclear/graphite_rod	Graphite Rod					手柄	3	偏高 0.41
gray_cloth	goldentweaks:compat/createnuclear/gray_cloth	Gray Cloth					革织	2	偏高 0.00
green_cloth	goldentweaks:compat/createnuclear/green_cloth	Green Cloth					革织	2	偏高 0.00
light_blue_cloth	goldentweaks:compat/createnuclear/light_blue_cloth	Light Blue Cloth					革织	2	偏高 0.00
light_gray_cloth	goldentweaks:compat/createnuclear/light_gray_cloth	Light Gray Cloth					革织	2	偏高 0.00
lime_cloth	goldentweaks:compat/createnuclear/lime_cloth	Lime Cloth					革织	2	偏高 0.00
magenta_cloth	goldentweaks:compat/createnuclear/magenta_cloth	Magenta Cloth					革织	2	偏高 0.00
orange_cloth	goldentweaks:compat/createnuclear/orange_cloth	Orange Cloth					革织	2	偏高 0.00
pink_cloth	goldentweaks:compat/createnuclear/pink_cloth	Pink Cloth					革织	2	偏高 0.00
purple_cloth	goldentweaks:compat/createnuclear/purple_cloth	Purple Cloth					革织	2	偏高 0.00
red_cloth	goldentweaks:compat/createnuclear/red_cloth	Red Cloth					革织	2	偏高 0.00
uranium_rod	goldentweaks:compat/createnuclear/uranium_rod	Uranium Rod					手柄	3	偏高 0.04
white_cloth	goldentweaks:compat/createnuclear/white_cloth	White Cloth					革织	2	偏高 0.00
yellow_cloth	goldentweaks:compat/createnuclear/yellow_cloth	Yellow Cloth					革织	2	偏高 0.00
void_steel_ingot	goldentweaks:compat/createvoidway/void_steel_ingot	Void Steel Ingot					金属覆层	2	
corn_husk	goldentweaks:compat/croptopia/corn_husk	Corn Husk					革织	1	偏低 0.43
kale	goldentweaks:compat/croptopia/kale	Kale					花羽	2	偏低 0.38
dolomite	goldentweaks:compat/dndecor/dolomite	Dolomite	7.175	2.429	1.545		石头	2	偏高 0.43
gabbro	goldentweaks:compat/dndecor/gabbro	Gabbro	13.413	4.54	2.889		石头	4	偏高 0.27
asphalt	goldentweaks:compat/dndesires/asphalt	Asphalt	13.262	4.489	2.856		石头	4	偏高 0.17
breccia	goldentweaks:compat/dndesires/breccia	Breccia	13.042	4.414	2.809		石头	4	偏高 0.03
alloy_exoversal	goldentweaks:compat/evolvedmekanism/alloy_exoversal	Exoversal Alloy	51.52	21.638	7.213		超级灌注合金	3	
alloy_hypercharged	goldentweaks:compat/evolvedmekanism/alloy_hypercharged	Hypercharged Alloy	21.16	8.887	2.962		灌注合金	4	
alloy_singular	goldentweaks:compat/evolvedmekanism/alloy_singular	Singular Alloy	28.52	11.978	3.993		超级灌注合金	1	
alloy_subatomic	goldentweaks:compat/evolvedmekanism/alloy_subatomic	Subatomic Alloy	38.64	16.229	5.41		超级灌注合金	2	
ingot_better_gold	goldentweaks:compat/evolvedmekanism/ingot_better_gold	Better Gold Ingot	39.56	15.033	6.33		硬金属	6	
ingot_plaslitherite	goldentweaks:compat/evolvedmekanism/ingot_plaslitherite	Plaslitherite Ingot	61.4	23.332	9.824		硬金属	7	
ingot_refined_redstone	goldentweaks:compat/evolvedmekanism/ingot_refined_redstone	Refined Redstone Ingot	24.6	9.348	3.936		硬金属	4	
entro	goldentweaks:compat/extendedae/entro	Entro Crystal	12.606	10.085	6.418		宝石	4	偏低 0.55
entro_ingot	goldentweaks:compat/extendedae/entro_ingot	Entro Infused Ingot	22.6	8.588	3.616		硬金属	3	
black_iron_ingot	goldentweaks:compat/extendedcrafting/black_iron_ingot	Black Iron Ingot	17.12	6.506	2.739		硬金属	2	
crystaltine_ingot	goldentweaks:compat/extendedcrafting/crystaltine_ingot	Crystaltine Ingot	58.4	22.192	9.344		硬金属	7	
ender_ingot	goldentweaks:compat/extendedcrafting/ender_ingot	Ender Ingot	16.96	6.445	2.714		硬金属	2	
enhanced_ender_ingot	goldentweaks:compat/extendedcrafting/enhanced_ender_ingot	Enhanced Ender Ingot	56.0	21.28	8.96		硬金属	7	
enhanced_redstone_ingot	goldentweaks:compat/extendedcrafting/enhanced_redstone_ingot	Enhanced Redstone Ingot	51.08	19.41	8.173		硬金属	7	
redstone_ingot	goldentweaks:compat/extendedcrafting/redstone_ingot	Redstone Ingot	14.88	5.654	2.381		硬金属	2	
the_ultimate_ingot	goldentweaks:compat/extendedcrafting/the_ultimate_ingot	The Ultimate Ingot	218	104.64	41.42		超级金属	5	
canvas	goldentweaks:compat/farmersdelight/canvas	Canvas				有机物，削弱75%	革织	1	偏低 0.35
farmers_rope	goldentweaks:compat/farmersdelight/farmers_rope	Rope					线	1	偏高 0.48
pie_crust	goldentweaks:compat/farmersdelight/pie_crust	Pie Crust					革织	2	偏低 0.10
straw	goldentweaks:compat/farmersdelight/straw	Straw					线	1	偏高 0.49
tree_bark	goldentweaks:compat/farmersdelight/tree_bark	Tree Bark					革织	1	偏低 0.15
appleleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/appleleave_fruiting_leaves	Apple Leaves					工具树叶		偏低 0.01
baozi_skin	goldentweaks:compat/flavor_immersed_daily/baozi_skin	Baozi Skin					革织	1	偏低 0.40
bovine_bone	goldentweaks:compat/flavor_immersed_daily/bovine_bone	Cattle Bone					手柄	2	偏高 0.14
carambolaleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/carambolaleave_fruiting_leaves	Carambola Leaves					工具树叶		偏高 0.11
dried_tofu_skin	goldentweaks:compat/flavor_immersed_daily/dried_tofu_skin	Dried Tofu Skin					革织	2	偏高 0.44
drycinnamon	goldentweaks:compat/flavor_immersed_daily/drycinnamon	Dried Cinnamon					革织	1	偏高 0.18
drypowderskin	goldentweaks:compat/flavor_immersed_daily/drypowderskin	Dry powder skin					革织	2	偏高 0.12
dumpling_skin	goldentweaks:compat/flavor_immersed_daily/dumpling_skin	Dumpling Skin					革织	1	偏高 0.52
durianleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/durianleave_fruiting_leaves	Durian Leaves					工具树叶		偏低 0.54
flourskin	goldentweaks:compat/flavor_immersed_daily/flourskin	wonton skin					革织	1	偏高 0.16
honeypeachleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/honeypeachleave_fruiting_leaves	Honey Peach Leaves					工具树叶		偏高 0.47
kiwifruitsleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/kiwifruitsleave_fruiting_leaves	Kiwifruit Leaves					工具树叶		偏低 0.46
lemonleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/lemonleave_fruiting_leaves	Lemon Leaves					工具树叶		偏低 0.52
lycheeleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/lycheeleave_fruiting_leaves	Lychee Leaves					工具树叶		偏低 0.53
mangoleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/mangoleave_fruiting_leaves	Mango Leaves					工具树叶		偏高 0.13
mangosteenleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/mangosteenleave_fruiting_leaves	Mangosteen Leaves					工具树叶		偏高 0.36
mulberryleaves_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/mulberryleaves_fruiting_leaves	Mulberry Leaves					工具树叶		偏低 0.31
nectarineleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/nectarineleave_fruiting_leaves	Nectarine Leaves					工具树叶		偏低 0.44
oat	goldentweaks:compat/flavor_immersed_daily/oat	Oat					线	1	偏低 0.16
oiledflourskin	goldentweaks:compat/flavor_immersed_daily/oiledflourskin	Small dough sheets coated with oil					革织	2	偏低 0.27
orangeleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/orangeleave_fruiting_leaves	Orange Leaves					工具树叶		偏低 0.19
orchard_heartwood_leaves	goldentweaks:compat/flavor_immersed_daily/orchard_heartwood_leaves	Orchard Heartwood Leaves					工具树叶		偏低 0.21
orchard_heartwood_planks	goldentweaks:compat/flavor_immersed_daily/orchard_heartwood_planks	Orchard Heartwood Planks	11.495	13.706	2.432		工具木材	1	偏低 0.15
pawpawleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/pawpawleave_fruiting_leaves	Papaya Leaves					工具树叶		偏高 0.33
pearleaves_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/pearleaves_fruiting_leaves	Pear Leaves					工具树叶		偏高 0.03
pistachionutleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/pistachionutleave_fruiting_leaves	Pistachio Leaves					工具树叶		偏高 0.55
raw_sheep_spine	goldentweaks:compat/flavor_immersed_daily/raw_sheep_spine	Raw Sheep Spine					手柄	2	偏高 0.27
raweggskin	goldentweaks:compat/flavor_immersed_daily/raweggskin	Raw egg dough sheets					革织	1	偏低 0.39
rawglutinousskin	goldentweaks:compat/flavor_immersed_daily/rawglutinousskin	Raw glutinous rice dough					革织	1	偏高 0.25
rawpigskin	goldentweaks:compat/flavor_immersed_daily/rawpigskin	Raw Pig Skin					革织	2	偏低 0.42
reddateleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/reddateleave_fruiting_leaves	Red Date Leaves					工具树叶		偏高 0.53
shumaiskin	goldentweaks:compat/flavor_immersed_daily/shumaiskin	Shumaiskin					革织	1	偏低 0.04
solarwood_leaves	goldentweaks:compat/flavor_immersed_daily/solarwood_leaves	Solarwood Leaves					工具树叶		偏低 0.48
solarwood_planks	goldentweaks:compat/flavor_immersed_daily/solarwood_planks	Solarwood Planks	11.673	13.918	2.469		工具木材	1	偏低 0.02
stonebark_leaves	goldentweaks:compat/flavor_immersed_daily/stonebark_leaves	Stonebark Leaves					工具树叶		偏高 0.21
stonebark_planks	goldentweaks:compat/flavor_immersed_daily/stonebark_planks	Stonebark Planks	11.489	13.699	2.43		工具木材	1	偏低 0.15
sweetmelonleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/sweetmelonleave_fruiting_leaves	Sweet Melon Leaves					工具树叶		偏低 0.55
tangerineleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/tangerineleave_fruiting_leaves	Tangerine Leaves					工具树叶		偏低 0.28
thousand_layer_tofu_skin	goldentweaks:compat/flavor_immersed_daily/thousand_layer_tofu_skin	Thousand-Layer Tofu Skin					革织	2	偏低 0.32
verdant_grace_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves	Plum Leaves					工具树叶		偏低 0.07
verdant_grace_fruiting_leaves_apricot	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_apricot	Apricot Leaves					工具树叶		偏高 0.08
verdant_grace_fruiting_leaves_cherry	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_cherry	Cherry Leaves					工具树叶		偏高 0.01
verdant_grace_fruiting_leaves_greenplum	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_greenplum	Green Plum Leaves					工具树叶		偏低 0.10
verdant_grace_fruiting_leaves_hawthorn	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_hawthorn	Hawthorn Leaves					工具树叶		偏低 0.08
